Batch,Frequency,Frequency Detla,|V| Sadie 1,Vphase Sadie 1,|V| Sadie 2,Vphase Sadie 2,|V| Tucker,Vphase Tucker,|V| Duke,Vphase Duke,|V| Adam,Vphase Adam,|V| Zeus,Vphase Zeus,|V| Murphy,Vphase Murphy,|I| Sadie 1 to Tucker,Iangle Sadie 1 to Tucker,|I| Sadie 1 to Duke,Iangle Sadie 1 to Duke,|I| Sadie 1 to Sadie 2,Iangle Sadie 1 to Sadie 2,|I| Sadie 2 to Tucker,Iangle Sadie 2 to Tucker,|I| Sadie 2 to Duke,Iangle Sadie 2 to Duke,|I| Duke to Adam,Iangle Duke to Adam,|I| Tucker to Adam,Iangle Tucker to Adam,|I| Zeus to Tucker,Iangle Zeus to Tucker,|I| Zeus to Murphy,Iangle Zeus to Murphy,|I| Murphy to Zeus,Iangle Murphy to Zeus,|I| Duke to Murphy,Iangle Duke to Murphy
782,60.006,0,26678,0,26612.6,0.0089,25172,-3.2743,25526.8,-2.2017,25108.4,-3.2639,24235.4,-5.7968,24234.1,-5.6078,704.983,-5.2992,431.644,-1.2416,5.68807,-174.103,699.633,-4.332,426.149,-0.7973,258.764,1.5192,15.5518,-102.4446,31.3636,-142.511,491.061,-184.635,31.754,37.8041,570.446,-184.628
783,60.006,0.01,26678.7,0,26617.3,0.0043,25171.5,-3.2716,25530.8,-2.2042,25107.9,-3.2611,24238.2,-5.7966,24236.9,-5.6076,705.164,-5.3088,431.459,-1.2091,5.8658,-175.3229,699.82,-4.3416,426.347,-0.7903,258.977,1.5572,15.5518,-102.4885,30.9742,-142.8779,490.842,-184.6129,31.754,37.7602,570.227,-184.6149
784,60.006,0.01,26681.5,0,26618,-0.0042,25177.1,-3.2726,25534.8,-2.2154,25111.5,-3.2715,24241,-5.805,24239.8,-5.6161,705.766,-5.3418,431.079,-1.2358,5.68807,-174.1995,699.358,-4.2948,425.969,-0.8163,259.191,1.5864,15.6745,-101.0393,30.9742,-142.9305,491.015,-184.6205,31.3636,37.3925,570.573,-184.5895
785,60.006,0,26684.1,0,26616.5,0.0006,25178.8,-3.2705,25532.7,-2.2093,25113.2,-3.2693,24242.1,-5.8015,24241,-5.6126,705.947,-5.3381,431.079,-1.2664,5.68807,-174.2301,699.546,-4.2911,426.167,-0.796,259.191,1.5558,15.6745,-101.0699,30.9742,-142.9611,491.015,-184.6511,31.3636,37.3619,570.573,-184.6201
786,60.006,0,26678.2,0,26612.8,0.0093,25172.4,-3.2702,25528.5,-2.1998,25108.9,-3.2595,24237.2,-5.7912,24236.1,-5.6022,704.862,-5.2777,431.079,-1.2844,5.57053,-176.0641,699.965,-4.3245,426.167,-0.814,259.191,1.5378,15.6745,-101.0879,31.5406,-143.3641,491.015,-184.6691,31.754,37.659,570.182,-184.6201
787,60.006,0,26678.6,0,26611,0.0007,25168.1,-3.2645,25524.4,-2.1942,25104.5,-3.2537,24230.5,-5.7949,24231.2,-5.5959,703.538,-5.1719,431.655,-1.2819,6.04586,-176.5521,700.615,-4.4116,426.167,-0.836,259.347,1.3868,15.5518,-102.6117,31.1534,-143.7161,491.188,-184.6451,31.754,37.637,570.356,-184.6031
788,60.006,0,26674.9,0,26609.5,0.0094,25163.7,-3.2634,25524.3,-2.198,25100.1,-3.2525,24225.6,-5.7932,24230.6,-5.5984,702.457,-5.1196,431.655,-1.3086,6.16174,-174.8938,701.222,-4.4194,426.167,-0.8627,259.347,1.3601,15.0265,-103.7573,31.5406,-143.4128,491.188,-184.6718,31.5406,36.5869,570.356,-184.6298
789,60.006,-0.01,26673.4,0,26605.9,0.0008,25159.4,-3.2709,25520.2,-2.2057,25099.9,-3.2645,24226.7,-5.7944,24225.7,-5.6053,702.695,-5.2042,431.851,-1.2935,5.81109,-172.5921,700.991,-4.405,426.167,-0.898,259.561,1.4065,15.0265,-103.7926,31.5406,-143.4481,490.971,-184.6411,31.3636,37.2599,570.529,-184.6261
790,60.006,-0.02,26672,0,26608.4,-0.0038,25165.2,-3.278,25518.1,-2.2043,25101.7,-3.267,24227.8,-5.7955,24226.9,-5.6065,703.117,-5.2543,431.668,-1.2524,5.17119,-170.3644,700.342,-4.3753,426.366,-0.8825,259.191,1.4185,15.4399,-104.2336,31.3636,-142.7754,490.971,-184.6764,31.754,37.5397,570.529,-184.6614
791,60.006,0,26670.6,0,26607,-0.0037,25167,-3.2806,25520.2,-2.2074,25103.4,-3.2695,24229,-5.7967,24228.1,-5.6077,703.482,-5.221,431.288,-1.2616,4.87129,-170.8147,699.924,-4.3951,425.988,-0.891,259.191,1.3832,15.5518,-102.7443,31.3636,-142.8107,490.754,-184.6457,31.584,38.2135,570.703,-184.6577
